[2J[;HPSoC 6 MCU With RSSI Client 
[INFO] : BLE stack started 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] : BLE timeout event
[INFO] : BLE Event 0x400B
[INFO] : BLE Event 0x400B
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -62 
[INFO] RSSI values: -61 -51 -62 
[INFO] RSSI values: -60 -51 -62 
[INFO] RSSI values: -61 -51 -62 
