,Server-RSSI,Server-Height
672,-57.0,0.46
673,-57.0,0.46
674,-57.0,0.46
675,-57.0,0.46
676,-57.0,0.46
677,-57.0,0.46
678,-57.0,0.46
679,-57.0,0.46
680,-57.0,0.46
681,-57.0,0.46
682,-57.0,0.46
683,-57.0,0.46
684,-56.0,0.46
685,-56.0,0.46
686,-56.0,0.46
687,-56.0,0.46
688,-56.0,0.46
689,-57.0,0.46
690,-56.0,0.46
691,-57.0,0.46
692,-56.0,0.46
693,-56.0,0.46
694,-57.0,0.46
695,-57.0,0.46
696,-57.0,0.46
697,-57.0,0.46
698,-57.0,0.46
699,-57.0,0.46
700,-57.0,0.46
701,-57.0,0.46
702,-57.0,0.46
703,-57.0,0.46
704,-57.0,0.46
705,-57.0,0.46
706,-57.0,0.46
707,-57.0,0.46
708,-57.0,0.46
709,-57.0,0.46
710,-57.0,0.46
711,-57.0,0.46
712,-57.0,0.46
713,-57.0,0.46
714,-57.0,0.46
715,-57.0,0.46
716,-57.0,0.46
717,-56.0,0.46
718,-57.0,0.46
719,-56.0,0.46
720,-57.0,0.46
721,-56.0,0.46
722,-57.0,0.46
723,-56.0,0.46
724,-57.0,0.46
725,-57.0,0.46
726,-56.0,0.46
727,-56.0,0.46
728,-57.0,0.46
729,-57.0,0.46
730,-57.0,0.46
731,-56.0,0.46
732,-56.0,0.46
733,-56.0,0.46
734,-56.0,0.46
735,-56.0,0.46
736,-56.0,0.46
737,-56.0,0.46
738,-56.0,0.46
739,-56.0,0.46
740,-56.0,0.46
741,-56.0,0.46
742,-56.0,0.46
743,-56.0,0.46
744,-56.0,0.46
745,-56.0,0.46
746,-56.0,0.46
747,-56.0,0.46
748,-56.0,0.46
749,-56.0,0.46
750,-56.0,0.46
751,-56.0,0.46
752,-56.0,0.46
753,-56.0,0.46
754,-56.0,0.46
755,-56.0,0.46
756,-56.0,0.46
757,-56.0,0.46
758,-56.0,0.46
759,-56.0,0.46
760,-56.0,0.46
761,-56.0,0.46
762,-56.0,0.46
763,-56.0,0.46
764,-56.0,0.46
765,-56.0,0.46
766,-56.0,0.46
767,-56.0,0.46
768,-56.0,0.46
769,-56.0,0.46
770,-56.0,0.46
771,-56.0,0.46
772,-56.0,0.46
773,-56.0,0.46
774,-56.0,0.46
775,-56.0,0.46
776,-56.0,0.46
777,-56.0,0.46
778,-56.0,0.46
779,-55.0,0.46
780,-55.0,0.46
781,-56.0,0.46
782,-56.0,0.46
783,-56.0,0.46
784,-56.0,0.46
785,-56.0,0.46
786,-56.0,0.46
787,-56.0,0.46
788,-56.0,0.46
789,-55.0,0.46
790,-55.0,0.46
791,-55.0,0.46
792,-56.0,0.46
793,-55.0,0.46
794,-55.0,0.46
795,-56.0,0.46
796,-55.0,0.46
797,-56.0,0.46
798,-55.0,0.46
799,-56.0,0.46
800,-56.0,0.23
801,-56.0,0.23
802,-56.0,0.23
803,-57.0,0.23
804,-55.0,0.23
805,-54.0,0.23
806,-54.0,0.23
807,-55.0,0.23
808,-55.0,0.23
809,-55.0,0.23
810,-55.0,0.23
811,-55.0,0.23
812,-55.0,0.23
813,-55.0,0.23
814,-55.0,0.23
815,-55.0,0.23
816,-55.0,0.23
817,-55.0,0.23
818,-55.0,0.23
819,-55.0,0.23
820,-55.0,0.23
821,-55.0,0.23
822,-55.0,0.23
823,-55.0,0.23
824,-55.0,0.23
825,-55.0,0.23
826,-55.0,0.23
827,-55.0,0.23
828,-55.0,0.23
829,-55.0,0.23
830,-55.0,0.23
831,-55.0,0.23
832,-55.0,0.23
833,-55.0,0.23
834,-55.0,0.23
835,-55.0,0.23
836,-56.0,0.23
837,-55.0,0.23
838,-56.0,0.23
839,-56.0,0.23
840,-55.0,0.23
841,-55.0,0.23
842,-56.0,0.23
843,-55.0,0.23
844,-55.0,0.23
845,-56.0,0.23
846,-55.0,0.23
847,-55.0,0.23
848,-56.0,0.23
849,-55.0,0.23
850,-55.0,0.23
851,-55.0,0.23
852,-55.0,0.23
853,-55.0,0.23
854,-55.0,0.23
855,-55.0,0.23
856,-55.0,0.23
857,-55.0,0.23
858,-55.0,0.23
859,-55.0,0.23
860,-55.0,0.23
861,-55.0,0.23
862,-55.0,0.23
863,-55.0,0.23
864,-55.0,0.23
865,-55.0,0.23
866,-55.0,0.23
867,-55.0,0.23
868,-55.0,0.23
869,-55.0,0.23
870,-55.0,0.23
871,-55.0,0.23
872,-55.0,0.23
873,-55.0,0.23
874,-55.0,0.23
875,-55.0,0.23
876,-56.0,0.23
877,-55.0,0.23
878,-56.0,0.23
879,-55.0,0.23
880,-55.0,0.23
881,-55.0,0.23
882,-55.0,0.23
883,-55.0,0.23
884,-55.0,0.23
885,-55.0,0.23
886,-55.0,0.23
887,-55.0,0.23
888,-55.0,0.23
889,-55.0,0.23
890,-55.0,0.23
891,-55.0,0.23
892,-55.0,0.23
893,-55.0,0.23
894,-55.0,0.23
895,-55.0,0.23
896,-55.0,0.23
897,-55.0,0.23
898,-55.0,0.23
899,-55.0,0.23
900,-55.0,0.23
901,-55.0,0.23
902,-55.0,0.23
903,-55.0,0.23
904,-55.0,0.23
905,-55.0,0.23
906,-56.0,0.23
907,-55.0,0.23
908,-55.0,0.23
909,-55.0,0.23
910,-55.0,0.23
911,-55.0,0.23
912,-55.0,0.23
913,-55.0,0.23
914,-55.0,0.23
915,-55.0,0.23
916,-55.0,0.23
917,-55.0,0.23
918,-56.0,0.23
919,-55.0,0.23
920,-56.0,0.23
921,-55.0,0.23
922,-55.0,0.23
923,-55.0,0.23
924,-56.0,0.23
925,-56.0,0.23
926,-55.0,0.23
927,-55.0,0.23
928,-56.0,0.23
929,-55.0,0.23
930,-56.0,0.23
931,-56.0,0.23
932,-56.0,0.23
933,-56.0,0.23
934,-56.0,0.23
935,-56.0,0.23
936,-56.0,0.23
937,-56.0,0.23
938,-56.0,0.23
939,-56.0,0.23
940,-56.0,0.23
941,-56.0,0.23
942,-56.0,0.23
943,-56.0,0.23
944,-56.0,0.23
945,-56.0,0.23
946,-56.0,0.23
947,-56.0,0.23
948,-55.0,0.23
949,-56.0,0.23
950,-55.0,0.23
951,-55.0,0.23
952,-56.0,0.23
953,-55.0,0.23
954,-56.0,0.23
955,-56.0,0.23
956,-56.0,0.23
957,-56.0,0.23
958,-56.0,0.23
959,-56.0,0.23
960,-56.0,0.23
961,-56.0,0.23
962,-56.0,0.23
963,-56.0,0.23
964,-56.0,0.23
965,-56.0,0.23
966,-56.0,0.23
967,-56.0,0.23
968,-56.0,0.23
969,-56.0,0.23
970,-56.0,0.23
971,-56.0,0.23
972,-56.0,0.23
973,-56.0,0.23
974,-56.0,0.23
975,-56.0,0.23
976,-56.0,0.23
977,-56.0,0.23
978,-56.0,0.23
979,-56.0,0.23
980,-56.0,0.23
981,-56.0,0.23
982,-56.0,0.23
983,-56.0,0.23
984,-56.0,0.23
985,-56.0,0.23
986,-56.0,0.23
987,-56.0,0.23
988,-56.0,0.23
989,-56.0,0.23
990,-56.0,0.23
991,-55.0,0.23
992,-55.0,0.23
993,-55.0,0.23
994,-55.0,0.23
995,-55.0,0.23
996,-55.0,0.23
997,-61.0,0.0
998,-63.0,0.0
999,-62.0,0.0
1000,-62.0,0.0
1001,-63.0,0.0
1002,-62.0,0.0
1003,-59.0,0.0
1004,-58.0,0.0
1005,-60.0,0.0
1006,-60.0,0.0
1007,-60.0,0.0
1008,-60.0,0.0
1009,-60.0,0.0
1010,-60.0,0.0
1011,-60.0,0.0
1012,-61.0,0.0
1013,-60.0,0.0
1014,-59.0,0.0
1015,-60.0,0.0
1016,-60.0,0.0
1017,-60.0,0.0
1018,-60.0,0.0
1019,-60.0,0.0
1020,-60.0,0.0
1021,-60.0,0.0
1022,-60.0,0.0
1023,-60.0,0.0
1024,-60.0,0.0
1025,-60.0,0.0
1026,-60.0,0.0
1027,-60.0,0.0
1028,-60.0,0.0
1029,-60.0,0.0
1030,-60.0,0.0
1031,-60.0,0.0
1032,-60.0,0.0
1033,-60.0,0.0
1034,-60.0,0.0
1035,-60.0,0.0
1036,-60.0,0.0
1037,-60.0,0.0
1038,-60.0,0.0
1039,-60.0,0.0
1040,-60.0,0.0
1041,-60.0,0.0
1042,-60.0,0.0
1043,-60.0,0.0
1044,-60.0,0.0
1045,-60.0,0.0
1046,-60.0,0.0
1047,-60.0,0.0
1048,-60.0,0.0
1049,-60.0,0.0
1050,-60.0,0.0
1051,-60.0,0.0
1052,-60.0,0.0
1053,-60.0,0.0
1054,-60.0,0.0
1055,-61.0,0.0
1056,-61.0,0.0
1057,-61.0,0.0
1058,-61.0,0.0
1059,-61.0,0.0
1060,-61.0,0.0
1061,-61.0,0.0
1062,-61.0,0.0
1063,-61.0,0.0
1064,-61.0,0.0
1065,-61.0,0.0
1066,-61.0,0.0
1067,-60.0,0.0
1068,-60.0,0.0
1069,-60.0,0.0
1070,-60.0,0.0
1071,-60.0,0.0
1072,-60.0,0.0
1073,-60.0,0.0
1074,-61.0,0.0
1075,-61.0,0.0
1076,-60.0,0.0
1077,-60.0,0.0
1078,-60.0,0.0
1079,-59.0,0.0
1080,-59.0,0.0
1081,-59.0,0.0
1082,-59.0,0.0
1083,-59.0,0.0
1084,-59.0,0.0
1085,-60.0,0.0
1086,-60.0,0.0
1087,-60.0,0.0
1088,-60.0,0.0
1089,-60.0,0.0
1090,-59.0,0.0
1091,-59.0,0.0
1092,-59.0,0.0
1093,-59.0,0.0
1094,-60.0,0.0
1095,-60.0,0.0
1096,-60.0,0.0
1097,-60.0,0.0
1098,-60.0,0.0
1099,-60.0,0.0
1100,-60.0,0.0
1101,-60.0,0.0
1102,-60.0,0.0
1103,-61.0,0.0
1104,-61.0,0.0
1105,-60.0,0.0
1106,-60.0,0.0
1107,-60.0,0.0
1108,-60.0,0.0
1109,-60.0,0.0
1110,-60.0,0.0
1111,-60.0,0.0
1112,-61.0,0.0
1113,-61.0,0.0
1114,-61.0,0.0
1115,-61.0,0.0
1116,-60.0,0.0
1117,-60.0,0.0
1118,-61.0,0.0
1119,-61.0,0.0
1120,-61.0,0.0
1121,-61.0,0.0
1122,-63.0,0.0
1123,-61.0,0.0
1124,-61.0,0.0
1125,-61.0,0.0
1126,-61.0,0.0
1127,-61.0,0.0
1128,-61.0,0.0
1129,-61.0,0.0
1130,-61.0,0.0
1131,-61.0,0.0
1132,-60.0,0.0
1133,-60.0,0.0
1134,-61.0,0.0
1135,-61.0,0.0
1136,-61.0,0.0
1137,-61.0,0.0
1138,-61.0,0.0
1139,-61.0,0.0
1140,-61.0,0.0
1141,-61.0,0.0
1142,-61.0,0.0
1143,-61.0,0.0
1144,-61.0,0.0
1145,-61.0,0.0
1146,-61.0,0.0
1147,-61.0,0.0
1148,-61.0,0.0
1149,-61.0,0.0
1150,-61.0,0.0
1151,-61.0,0.0
1152,-61.0,0.0
1153,-61.0,0.0
1154,-61.0,0.0
1155,-61.0,0.0
1156,-61.0,0.0
1157,-61.0,0.0
1158,-61.0,0.0
1159,-61.0,0.0
1160,-61.0,0.0
1161,-60.0,0.0
1162,-60.0,0.0
1163,-60.0,0.0
1164,-60.0,0.0
1165,-60.0,0.0
1166,-60.0,0.0
1167,-60.0,0.0
1168,-60.0,0.0
1169,-60.0,0.0
1170,-60.0,0.0
1171,-60.0,0.0
1172,-60.0,0.0
1173,-60.0,0.0
1174,-60.0,0.0
1175,-60.0,0.0
1176,-60.0,0.0
1177,-61.0,0.0
1178,-61.0,0.0
1179,-61.0,0.0
1180,-61.0,0.0
1181,-62.0,0.0
1182,-61.0,0.0
1183,-61.0,0.0
1184,-61.0,0.0
1185,-61.0,0.0
1186,-61.0,0.0
1187,-61.0,0.0
1188,-61.0,0.0
1189,-61.0,0.0
1190,-61.0,0.0
1191,-61.0,0.0
1192,-61.0,0.0
1193,-61.0,0.0
1194,-61.0,0.0
1195,-61.0,0.0
1196,-60.0,0.0
