,Server-RSSI-1,Server-RSSI-2,Server-Distance-1,Server-Distance-2
415,-38,-67,1.2,2.8
416,-38,-73,1.2,2.8
417,-38,-67,1.2,2.8
418,-38,-68,1.2,2.8
419,-38,-67,1.2,2.8
420,-38,-67,1.2,2.8
421,-38,-66,1.2,2.8
422,-49,-66,1.2,2.8
423,-49,-73,1.2,2.8
424,-43,-67,1.2,2.8
425,-43,-73,1.2,2.8
426,-43,-66,1.2,2.8
427,-43,-66,1.2,2.8
428,-48,-66,1.2,2.8
429,-48,-68,1.2,2.8
430,-43,-68,1.2,2.8
431,-44,-65,1.2,2.8
432,-48,-66,1.2,2.8
433,-49,-73,1.2,2.8
434,-39,-68,1.2,2.8
435,-39,-68,1.2,2.8
436,-39,-81,1.2,2.8
437,-39,-68,1.2,2.8
438,-39,-68,1.2,2.8
439,-39,-76,1.2,2.8
440,-49,-77,1.2,2.8
441,-45,-65,1.2,2.8
442,-46,-68,1.2,2.8
443,-39,-68,1.2,2.8
444,-39,-78,1.2,2.8
445,-39,-68,1.2,2.8
446,-40,-68,1.2,2.8
447,-39,-79,1.2,2.8
448,-40,-69,1.2,2.8
449,-39,-69,1.2,2.8
450,-39,-65,1.2,2.8
451,-49,-65,1.2,2.8
452,-49,-70,1.2,2.8
453,-42,-70,1.2,2.8
454,-39,-76,1.2,2.8
455,-39,-71,1.2,2.8
456,-39,-71,1.2,2.8
457,-39,-75,1.2,2.8
458,-39,-75,1.2,2.8
459,-49,-71,1.2,2.8
460,-39,-71,1.2,2.8
461,-39,-76,1.2,2.8
462,-39,-65,1.2,2.8
463,-39,-66,1.2,2.8
464,-49,-66,1.2,2.8
465,-49,-80,1.2,2.8
466,-49,-66,1.2,2.8
467,-49,-66,1.2,2.8
468,-49,-71,1.2,2.8
469,-39,-71,1.2,2.8
470,-39,-66,1.2,2.8
471,-49,-66,1.2,2.8
472,-49,-71,1.2,2.8
473,-39,-72,1.2,2.8
474,-39,-66,1.2,2.8
475,-49,-66,1.2,2.8
476,-49,-71,1.2,2.8
477,-44,-71,1.2,2.8
478,-39,-71,1.2,2.8
479,-39,-76,1.2,2.8
480,-49,-72,1.2,2.8
481,-39,-72,1.2,2.8
